id,price,address
44182,138500,"1 STRAND ST, CASTLEGREGORY, KERRY"
44179,98000,"CARRIGADAV, AUGHACASLA, CASTLEGREGORY"
44174,50000,"LOUGHGILL HOUSE, CASTLEGREGORY, KERRY"
44168,170000,"2 CAHER PLACE, CASTLEGREGORY, CO. KERRY"
44140,354000,"KEELBALLYLAHIVE, AUGHACASLA, CASTLEGREGORY"
44137,115000,"COLLEGE STREET, CASTLEGREGORY, CO KERRY"
44131,297000,"AUGHANA, STRADBALLY, CASTLEGREGORY"
44127,165000,"3 CAHER PLACE, STRAND RD, CASTLEGREGORY"
44119,282500,"KELLYS HEIGHT, CASTLEGREGORY, KERRY"
44097,320000,"MARTRAMANE, CASTLEGREGORY, KERRY"
44064,240000,"KEELBALLYLAHIVE, CASTLEGREGORY, CO. KERRY"
44043,290000,"EATON LODGE, FORGE RD, CASTLEGREGORY"
44036,170000,"18 CAHER PLACE, STRAND RD, CASTLEGREGORY"
44033,135000,"AUGHACASLA, CASTLEGREGORY, KERRY"
43976,380000,"KILSHANNIG, CASTLEGREGORY, KERRY"
43965,320000,"ONION FIELDS, KILSHANIG, CASTLEGREGORY"
43922,137600,"COTTAGE 7, CLOUGHANESKEEN, CASTLEGREGORY"
43922,220000,"MAIN ST, CASTLEGREGORY, KERRY"
43921,192000,"10 CAHER SQ, CASTLEGREGORY, KERRY"
43906,233000,"CARRIGADAV, CASTLEGREGORY, KERRY"
43868,178000,"10 STATION HOUSES, MATRAMANE, CASTLEGREGORY"
43837,125000,"THE OLD MILL, AUGHACASLA SOUTH, CASTLEGREGORY"
44421,90000,"COOLROE, CASTLEGREGORY, CO KERRY"
44399,65000,"WEST MAIN ST, CASTLEGREGORY, TRALEE"
44385,217500,"LISNAKEALWEE, BRANDON, CASTLEGREGORY"
44364,300000,"GOWLANE, CASTLEGREGORY, KERRY"
44344,147500,"KILLINEY COTTAGE, CASTLEGREGORY, TRALEE"
44337,425000,"FERRENDELOGUE, FERMOYLE, CASTLEGREGORY"
44335,251026.95,"CLOGHANEANODE, CASTLEGREGORY, CO. KERRY"
44281,310000,"AUGHACASLA NORTH, CASTLEGREGORY, COUNTY KERRY"
44253,250000,"FAHAMORE, CASTLEGREGORY, CO KERRY"
44250,145000,"LOUGHBEG RD, CASTLEGREGORY, KERRY"
44232,344000,"CONLEAHY MAHERESS, CASTLEGREGORY, TRALEE"
44224,355000,"MAHARABEG, CASTLEGREGORY, KERRY"
44223,198000,"14 CAHER SQ, CASTLEGREGORY, KERRY"
44202,201000,"FAHA, CLOGHANE, CASTLEGREGORY"
